Episode Name, Release Date, Wiki Link ,,
Pilot,12-Jan-97,https://kingofthehill.fandom.com/wiki/Pilot,,
Square Peg,19-Jan-97,https://kingofthehill.fandom.com/wiki/Square_Peg,,
The Order of the Straight Arrow,2-Feb-97,https://kingofthehill.fandom.com/wiki/The_Order_of_the_Straight_Arrow,,
Hank's Got the Willies,9-Feb-97,https://kingofthehill.fandom.com/wiki/Hank's_Got_the_Willies,,
Luanne's Saga,16-Feb-97,https://kingofthehill.fandom.com/wiki/Luanne's_Saga,,
Hank's Unmentionable Problem,23-Feb-97,https://kingofthehill.fandom.com/wiki/Hank's_Unmentionable_Problem,,
Westie Side Story,2-Mar-97,https://kingofthehill.fandom.com/wiki/Westie_Side_Story,,
Shins of the Father,23-Mar-97,https://kingofthehill.fandom.com/wiki/Shins_of_the_Father,,
Peggy the Boggle Champ,13-Apr-97,https://kingofthehill.fandom.com/wiki/Peggy_the_Boggle_Champ,,
Keeping Up With Our Joneses,27-Apr-97,https://kingofthehill.fandom.com/wiki/Keeping_Up_With_Our_Joneses,,
King of the Ant Hill,18-May-97,https://kingofthehill.fandom.com/wiki/King_of_the_Ant_Hill,,
Plastic White Female,11-May-97,https://kingofthehill.fandom.com/wiki/Plastic_White_Female,,
How to Fire a Rifle Without Really Trying,21-Sep-97,https://kingofthehill.fandom.com/wiki/How_to_Fire_a_Rifle_Without_Really_Trying,,
Texas City Twister,28-Sep-97,https://kingofthehill.fandom.com/wiki/Texas_City_Twister,,
The Arrowhead,19-Oct-97,https://kingofthehill.fandom.com/wiki/The_Arrowhead,,
Hilloween,26-Oct-97,https://kingofthehill.fandom.com/wiki/Hilloween,,
"Jumpin' Crack Bass (It's a Gas, Gas, Gas)",2-Nov-97,https://kingofthehill.fandom.com/wiki/Jumpin'_Crack_Bass_(It's_a_Gas,_Gas,_Gas)
Husky Bobby,9-Nov-97,https://kingofthehill.fandom.com/wiki/Husky_Bobby,,
The Man who Shot Cane Skretteburg,16-Nov-97,https://kingofthehill.fandom.com/wiki/The_Man_Who_Shot_Cane_Skretteburg,,
The Son That Got Away,23-Nov-97,https://kingofthehill.fandom.com/wiki/The_Son_That_Got_Away,,
The Company Man,7-Dec-97,https://kingofthehill.fandom.com/wiki/The_Company_Man,,
Bobby Slam,14-Dec-97,https://kingofthehill.fandom.com/wiki/Bobby_Slam,,
The Unbearable Blindness of Laying,21-Dec-97,https://kingofthehill.fandom.com/wiki/The_Unbearable_Blindness_of_Laying,,
Meet the Manger Babies,11-Jan-98,https://kingofthehill.fandom.com/wiki/Meet_the_Manger_Babies,,
Snow Job,1-Feb-98,https://kingofthehill.fandom.com/wiki/Snow_Job,,
I Remember Mono,8-Feb-98,https://kingofthehill.fandom.com/wiki/I_Remember_Mono,,
Three Days of the Kahndo,15-Feb-98,https://kingofthehill.fandom.com/wiki/Three_Days_of_the_Kahndo,,
Traffic Jam,22-Feb-98,https://kingofthehill.fandom.com/wiki/Traffic_Jam,,
Hank's Dirty Laundry,1-Mar-98,https://kingofthehill.fandom.com/wiki/Hank's_Dirty_Laundry,,
The Final Shinsult,15-Mar-98,https://kingofthehill.fandom.com/wiki/The_Final_Shinsult,,
Leanne's Saga,19-Apr-98,https://kingofthehill.fandom.com/wiki/Leanne's_Saga,,
Junkie Business,26-Apr-98,https://kingofthehill.fandom.com/wiki/Junkie_Business,,
"Life in the Fast Lane, Bobby's Saga",3-May-98,https://kingofthehill.fandom.com/wiki/Life_in_the_Fast_Lane,_Bobby's_Saga,
Peggy's Turtle Song,10-May-98,https://kingofthehill.fandom.com/wiki/Peggy's_Turtle_Song,,
Propane Boom,17-May-98,https://kingofthehill.fandom.com/wiki/Propane_Boom,,
Death of a Propane Salesman,15-Sep-98,https://kingofthehill.fandom.com/wiki/Death_of_a_Propane_Salesman,,
And They Call it Bobby Love,22-Sep-98,https://kingofthehill.fandom.com/wiki/And_They_Call_It_Bobby_Love,,
Peggy's Headache,6-Oct-98,https://kingofthehill.fandom.com/wiki/Peggy's_Headache,,
Pregnant Paws,13-Oct-98,https://kingofthehill.fandom.com/wiki/Pregnant_Paws,,
Next of Shin,3-Nov-98,https://kingofthehill.fandom.com/wiki/Next_of_Shin,,
Peggy's Pageant Fever,10-Nov-98,https://kingofthehill.fandom.com/wiki/Peggy's_Pageant_Fever,,
Nine Pretty Darn Angry Men,17-Nov-98,https://kingofthehill.fandom.com/wiki/Nine_Pretty_Darn_Angry_Men,,
Good Hill Hunting,1-Dec-98,https://kingofthehill.fandom.com/wiki/Good_Hill_Hunting,,
